Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
dsbC;b2893;ygiT;b3021;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.992;-4.543;-0.9364
dsbC;b2893;parE;b3030;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.702;-5.660;-1.2451
dsbC;b2893;ribB;b3041;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.295;-5.021;-1.2592
dsbC;b2893;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.173;-6.401;-0.8698
dsbC;b2893;nusA;b3169;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.007;-4.568;-1.6780
dsbC;b2893;obgE;b3183;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.343;-5.095;-0.7592
dsbC;b2893;murA;b3189;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.871;-5.925;-1.0990
dsbC;b2893;rnpA;b3704;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.138;-6.346;-1.5884
dsbC;b2893;murI;b3967;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.156;-4.802;-0.7963
dsbC;b2893;murB;b3972;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.979;-4.523;-1.2598
dsbC;b2893;rpoC;b3988;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.259;-6.535;-1.4481
dsbC;b2893;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.509;-5.356;-10.4689
dsbC;b2893;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.460;-5.279;-0.6129
greA;b3181;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.498;-8.372;-3.1254
greA;b3181;ftsZ;b0095;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.159;-7.850;-1.4733
greA;b3181;yaeT;b0177;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.450;-5.223;-1.4170
greA;b3181;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.711;-5.625;-2.2076
greA;b3181;ygjD;b3064;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.848;-10.447;-11.9895
greA;b3181;mreB;b3251;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.335;-6.584;-1.3304
greA;b3181;rpoA;b3295;SPA-tag essential;SPA-tag essential;Functional association with STRING;-4.752;-7.225;-2.6393
greA;b3181;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.789;-7.281;-1.7532
greA;b3181;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.485;-6.814;-1.4667
greA;b3181;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-11.298;-17.286;-2.5522
greA;b3181;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.409;-6.697;-2.5636
greA;b3181;ssb;b4059;SPA-tag essential;SPA-tag essential;Functional association with STRING;-3.933;-5.967;-1.9642
yrbA;b3190;ftsZ;b0095;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.197;-5.030;-1.2368
yrbA;b3190;ygjD;b3064;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.305;-6.390;-11.7188
yrbA;b3190;yhbV;b3159;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.196;-5.028;-0.7113
rpoN;b3202;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.824;-6.110;-3.2896
rpoN;b3202;ftsZ;b0095;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.510;-5.601;-0.8683
rpoN;b3202;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-7.056;-11.335;-2.2009
rpoN;b3202;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.281;-8.465;-1.4451
rpoN;b3202;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.683;-7.499;-10.7283
rpoN;b3202;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.105;-8.180;-7.6216
rpoN;b3202;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.557;-5.678;-1.5853
rpoN;b3202;rpoC;b3988;SPA-tag essential;SPA-tag essential;Functional association with STRING;-3.541;-5.652;-1.1139
rpoN;b3202;dnaB;b4052;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.609;-4.144;-10.7283
rpoN;b3202;alsK;b4084;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.597;-5.743;-1.0324
rpoN;b3202;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.462;-10.375;-1.0535
yhcG;b3220;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.265;-7.159;-1.8134
yhcG;b3220;ftsZ;b0095;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.194;-7.002;-0.9408
yhcG;b3220;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.290;-4.978;-0.6206
yhcG;b3220;yaeT;b0177;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.923;-10.870;-2.0184
yhcG;b3220;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.771;-6.056;-1.3854
yhcG;b3220;pheT;b1713;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.157;-4.680;-3.2578
yhcG;b3220;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.466;-5.373;-0.8938
yhcG;b3220;parE;b3030;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.434;-5.299;-0.7126
yhcG;b3220;ygjD;b3064;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.390;-7.440;-1.6764
yhcG;b3220;ftsH;b3178;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.402;-14.181;-1.3377
yhcG;b3220;murA;b3189;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.095;-6.780;-1.0731
yhcG;b3220;def;b3287;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.075;-4.497;-0.4740
yhcG;b3220;rpoA;b3295;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.910;-4.129;-0.7972
yhcG;b3220;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.851;-6.234;-1.2247
yhcG;b3220;rplW;b3318;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.581;-5.630;-1.2168
yhcG;b3220;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.527;-7.746;-1.1256
yhcG;b3220;ftsE;b3463;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.659;-8.043;-1.7614
yhcG;b3220;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.163;-6.932;-3.9733
yhcG;b3220;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.396;-9.691;-4.1706
yhcG;b3220;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.024;-6.621;-1.5484
yhcG;b3220;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.888;-4.079;-0.9613
yhcG;b3220;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.360;-11.850;-2.2334
mdh;b3236;pheS;b1714;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.329;-4.226;-0.0179
mdh;b3236;cca;b3056;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.333;-6.064;-0.6228
mdh;b3236;yrdC;b3282;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.688;-8.546;-8.6418
mdh;b3236;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.052;-5.551;-1.4576
yhdZ;b3271;ftsZ;b0095;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.159;-6.227;-1.5798
yhdZ;b3271;fbaA;b2925;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.226;-6.310;-1.2603
yhdZ;b3271;ftsH;b3178;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.023;-4.816;-0.7784
yhdZ;b3271;yrdC;b3282;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.360;-10.199;-10.3397
yhdZ;b3271;def;b3287;SPA-tag essential;SPA-tag essential;No functional association with STRING;-12.059;-14.792;-10.3397
yhdZ;b3271;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-8.228;-10.036;-5.5548
yhdZ;b3271;rplW;b3318;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.638;-5.580;-10.3397
yhdZ;b3271;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.930;-8.425;-4.4590
yhdZ;b3271;glyQ;b3560;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.995;-4.781;-0.8097
yhdZ;b3271;dut;b3640;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.628;-5.568;-0.8138
yhdZ;b3271;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.918;-4.686;-10.3397
yhdZ;b3271;murB;b3972;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.996;-4.784;-2.0585
yhdZ;b3271;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.730;-5.694;-1.9565
yhdZ;b3271;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-12.817;-15.732;-3.5578
greB;b3406;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.003;-5.869;-0.9359
greB;b3406;yaeT;b0177;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.077;-4.027;-1.0345
greB;b3406;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.169;-4.211;-4.0097
greB;b3406;ispE;b1208;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.972;-5.807;-3.2171
greB;b3406;aspS;b1866;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.086;-4.044;-0.6896
greB;b3406;der;b2511;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.713;-5.292;-0.6966
greB;b3406;ygiT;b3021;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.668;-5.203;-0.7505
greB;b3406;def;b3287;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.376;-4.623;-0.5707
greB;b3406;rpoA;b3295;SPA-tag essential;SPA-tag essential;Functional association with STRING;-2.805;-5.475;-1.0352
greB;b3406;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.079;-8.011;-1.7521
greB;b3406;rplW;b3318;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.078;-9.999;-2.2148
greB;b3406;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-5.599;-11.035;-1.7398
greB;b3406;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.035;-7.923;-1.2261
greB;b3406;rpoH;b3461;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.371;-4.612;-0.7372
greB;b3406;ftsX;b3462;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.808;-5.481;-0.3648
greB;b3406;birA;b3973;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.079;-4.030;-0.9688
greB;b3406;groS;b4142;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.358;-4.587;-0.3390
yieG;b3714;rplW;b3318;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.983;-4.784;-1.0612
yieG;b3714;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-1.820;-4.387;-0.8214
yieG;b3714;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.127;-5.134;-0.9138
yiiL;b3901;murE;b0085;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.823;-4.934;-1.6386
yiiL;b3901;secA;b0098;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.825;-6.718;-1.0203
yiiL;b3901;lpxD;b0179;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.590;-4.520;-1.3200
yiiL;b3901;lpxA;b0181;SPA-tag essential;SPA-tag essential;No functional association with STRING;-6.070;-10.714;-3.1842
yiiL;b3901;ribE;b0415;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.264;-5.720;-5.2486
yiiL;b3901;mukE;b0923;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.669;-6.440;-2.7622
yiiL;b3901;fabI;b1288;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.761;-4.825;-1.5477
yiiL;b3901;infC;b1718;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.052;-7.122;-1.8705
yiiL;b3901;trmD;b2607;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.479;-4.323;-1.6819
yiiL;b3901;ffh;b2610;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.451;-4.273;-1.7246
yiiL;b3901;rpoA;b3295;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.377;-7.701;-2.3846
yiiL;b3901;rpsE;b3303;SPA-tag essential;SPA-tag essential;No functional association with STRING;-4.455;-7.839;-1.8333
yiiL;b3901;rplD;b3319;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.436;-6.027;-1.2068
yiiL;b3901;fusA;b3340;SPA-tag essential;SPA-tag essential;No functional association with STRING;-11.954;-21.186;-3.2371
yiiL;b3901;ftsE;b3463;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.375;-4.138;-0.9706
yiiL;b3901;dnaN;b3701;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.186;-5.581;-2.2601
yiiL;b3901;glmS;b3729;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.811;-6.693;-2.6308
yiiL;b3901;ubiB;b3835;SPA-tag essential;SPA-tag essential;No functional association with STRING;-2.443;-4.258;-0.3969
yiiL;b3901;yihA;b3865;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.900;-6.852;-1.7676
yiiL;b3901;murB;b3972;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.433;-6.020;-1.9384
yiiL;b3901;ssb;b4059;SPA-tag essential;SPA-tag essential;No functional association with STRING;-3.708;-6.510;-1.6704
